game_date,home_team,away_team,home_pitcher,away_pitcher
2025-08-31,CIN,STL,TBD,TBD
2025-08-31,MIN,SD,TBD,TBD
2025-08-31,BOS,PIT,TBD,TBD
2025-08-31,WSH,TB,TBD,TBD
2025-08-31,TOR,MIL,TBD,TBD
2025-08-31,NYM,MIA,TBD,TBD
2025-08-31,CLE,SEA,TBD,TBD
2025-08-31,HOU,LAA,TBD,TBD
2025-08-31,KC,DET,TBD,TBD
2025-08-31,CHW,NYY,TBD,TBD
2025-08-31,COL,CHC,TBD,TBD
2025-08-31,SF,BAL,TBD,TBD
2025-08-31,ATH,TEX,TBD,TBD
2025-08-31,LAD,ARI,TBD,TBD
2025-08-31,PHI,ATL,TBD,TBD
