Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRC+,BB%,K%,xBA,xSLG,xwOBA,HardHit%,Barrel%,EV,LA,maxEV,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,K:BB,Rank
Bryce Harper,PHI,110,484,420,113,23,63,64,11,0.269,0.36,0.502,0.862,0.233,0.301,0.367,135,11.6,20.9,0.282,0.521,0.381,48.1,12.7,91.3,11.9,113.8,37.6,35.1,27.3,11.8,49.7,38.5,1.8,25
Michael Busch,CHC,133,502,447,117,26,64,76,4,0.262,0.341,0.497,0.837,0.235,0.301,0.359,134,8.8,23.9,0.275,0.559,0.387,45.4,15.2,91.8,17.0,111.9,46.0,31.7,22.3,8.8,55.2,36.0,2.72,26
Jazz Chisholm Jr.,NYY,106,442,378,92,28,68,70,26,0.243,0.342,0.505,0.848,0.262,0.275,0.363,134,12.2,27.399999999999995,0.249,0.534,0.375,44.7,16.4,89.4,16.5,110.9,47.3,34.7,17.9,16.4,51.1,32.4,2.25,27
Jeremy Pena,HOU,110,472,427,130,14,57,51,20,0.304,0.365,0.473,0.838,0.169,0.344,0.362,134,6.6000000000000005,16.5,0.285,0.456,0.35,42.6,8.0,88.6,8.9,109.9,44.0,36.4,19.6,14.800000000000002,53.7,31.5,2.5,28
Alex Bregman,BOS,94,405,355,101,16,53,54,1,0.285,0.368,0.49,0.858,0.206,0.3,0.37,133,9.6,14.3,0.269,0.458,0.354,44.5,7.7,90.3,18.0,109.6,50.2,35.1,14.7,14.400000000000002,51.2,34.4,1.49,29
Isaac Paredes,HOU,94,409,351,91,19,51,50,0,0.259,0.359,0.47,0.829,0.211,0.27,0.361,133,12.0,16.4,0.244,0.399,0.332,33.2,6.3,87.3,22.5,107.4,56.3,27.6,16.1,17.8,52.800000000000004,29.4,1.37,30
Ivan Herrera,STL,85,354,307,88,13,38,53,6,0.287,0.368,0.45,0.818,0.163,0.326,0.357,132,9.3,19.2,0.281,0.487,0.368,46.3,10.2,91.0,10.4,113.0,39.1,32.9,28.000000000000004,14.800000000000002,49.0,36.2,2.06,31
Geraldo Perdomo,ARI,139,617,513,146,16,86,88,24,0.285,0.384,0.446,0.83,0.162,0.296,0.362,132,13.3,11.0,0.279,0.423,0.355,31.1,5.7,87.6,15.1,108.2,41.7,31.1,27.200000000000003,15.2,57.2,27.6,0.83,32
Bo Bichette,TOR,136,613,571,177,18,76,91,4,0.31,0.354,0.482,0.836,0.172,0.341,0.36,131,6.0,14.499999999999998,0.308,0.493,0.364,49.4,8.1,91.1,8.3,112.3,29.100000000000005,39.9,31.0,12.4,49.6,38.0,2.42,33
Bobby Witt Jr.,KCR,136,594,536,159,20,89,76,34,0.297,0.354,0.504,0.857,0.207,0.337,0.362,130,7.7,18.7,0.301,0.526,0.381,48.6,12.5,93.3,15.0,115.7,34.5,37.0,28.499999999999996,13.900000000000002,45.8,40.3,2.43,34
Matt Olson,ATL,139,623,535,144,21,79,77,1,0.269,0.366,0.458,0.824,0.189,0.338,0.358,130,13.0,24.7,0.258,0.483,0.363,53.0,13.200000000000001,93.1,14.1,114.0,37.7,34.3,28.1,12.2,48.8,39.0,1.9,35
Ryan O'Hearn,- - -,122,460,396,110,16,58,54,3,0.278,0.37,0.449,0.819,0.172,0.315,0.355,130,11.5,18.7,0.283,0.46,0.362,43.9,8.3,89.8,11.1,109.4,37.6,36.9,25.5,11.1,57.99999999999999,30.9,1.63,36
Eugenio Suarez,- - -,136,557,496,118,42,80,105,4,0.238,0.309,0.542,0.851,0.304,0.25,0.358,130,6.800000000000001,28.199999999999996,0.222,0.482,0.333,48.3,14.2,90.4,22.1,113.8,50.3,32.4,17.3,16.8,46.2,37.0,4.15,37
Drake Baldwin,ATL,102,354,318,90,15,43,62,0,0.283,0.356,0.462,0.818,0.179,0.302,0.357,129,9.3,15.5,0.288,0.495,0.369,49.4,10.6,91.6,5.9,112.3,36.9,38.8,24.3,13.699999999999998,55.1,31.2,1.67,38
Riley Greene,DET,136,567,520,140,32,75,101,2,0.269,0.325,0.513,0.838,0.244,0.339,0.356,129,7.200000000000001,30.3,0.256,0.526,0.355,44.7,17.7,90.1,14.8,115.1,40.2,32.2,27.6,12.8,52.400000000000006,34.8,4.21,39
Cody Bellinger,NYY,128,549,499,139,26,76,83,11,0.279,0.332,0.501,0.833,0.222,0.278,0.354,128,7.7,13.3,0.263,0.449,0.332,38.8,7.9,88.7,18.8,110.2,46.9,27.0,26.1,17.1,54.50000000000001,28.4,1.73,40
James Wood,WSN,136,597,515,133,27,74,86,15,0.258,0.355,0.476,0.831,0.217,0.349,0.355,128,12.7,31.3,0.265,0.499,0.366,54.1,16.0,93.6,6.6,118.0,29.9,41.1,28.999999999999996,10.6,49.8,39.6,2.46,41
Maikel Garcia,KCR,136,566,506,150,15,65,64,22,0.296,0.361,0.472,0.833,0.176,0.321,0.36,128,9.2,13.3,0.29,0.447,0.349,45.2,5.9,91.5,9.8,110.3,39.5,34.5,26.0,13.200000000000001,52.5,34.2,1.45,42
Christian Yelich,MIL,132,565,500,134,27,82,92,15,0.268,0.35,0.464,0.814,0.196,0.329,0.351,127,10.4,26.400000000000002,0.257,0.451,0.341,46.0,9.4,90.0,2.0,113.4,33.0,38.4,28.7,16.2,49.1,34.7,2.54,43
Isaac Collins,MIL,114,384,326,90,8,51,51,16,0.276,0.373,0.426,0.799,0.15,0.343,0.352,127,12.2,21.4,0.255,0.367,0.325,39.6,5.2,88.7,12.7,111.2,40.4,35.2,24.4,17.2,51.2,31.6,1.75,44
Fernando Tatis Jr.,SDP,135,604,515,135,18,93,57,27,0.262,0.369,0.427,0.796,0.165,0.301,0.348,127,13.600000000000001,18.0,0.284,0.497,0.382,52.800000000000004,10.8,93.3,8.3,112.8,40.3,36.6,23.1,11.3,51.4,37.3,1.32,45
Ben Rice,NYY,116,446,388,94,22,60,51,3,0.242,0.335,0.482,0.817,0.24,0.261,0.352,127,10.3,20.6,0.293,0.576,0.411,55.50000000000001,16.4,93.4,14.7,113.5,47.0,33.9,19.1,13.100000000000001,46.0,40.9,2.0,46
Jose Ramirez,CLE,133,565,500,140,26,84,68,36,0.28,0.354,0.494,0.848,0.214,0.273,0.352,127,9.6,10.8,0.292,0.457,0.346,36.3,7.000000000000001,88.6,20.0,111.6,52.900000000000006,29.100000000000005,18.0,18.5,51.6,30.0,1.12,47
Jeff McNeil,NYM,101,387,333,88,12,40,50,3,0.264,0.353,0.456,0.81,0.192,0.268,0.347,126,10.6,10.6,0.282,0.424,0.346,33.2,5.7,87.8,16.3,107.1,49.0,29.2,21.8,15.8,54.0,30.2,1.0,48
Randy Arozarena,SEA,137,601,521,126,26,82,66,25,0.242,0.338,0.451,0.789,0.209,0.295,0.343,126,9.0,26.5,0.246,0.454,0.348,51.2,11.8,91.5,13.3,112.3,41.6,37.5,20.8,17.0,42.7,40.3,2.94,49
Manny Machado,SDP,139,594,536,152,21,79,79,12,0.284,0.345,0.461,0.806,0.177,0.319,0.347,126,8.4,18.4,0.29,0.507,0.37,52.5,12.0,93.1,14.2,114.8,36.8,37.7,25.5,11.3,50.5,38.2,2.19,50
Junior Caminero,TBR,132,560,519,136,40,81,100,7,0.262,0.304,0.539,0.843,0.277,0.257,0.354,126,5.7,20.0,0.269,0.517,0.356,51.0,13.3,92.2,10.6,116.5,46.9,35.3,17.9,14.3,46.6,39.1,3.51,51
Shea Langeliers,ATH,105,440,406,106,29,60,65,5,0.261,0.307,0.537,0.844,0.276,0.26,0.354,124,6.6000000000000005,19.5,0.261,0.477,0.336,44.6,11.7,90.4,15.1,114.5,43.4,35.4,21.2,17.5,44.6,37.8,2.95,52
Brent Rooker,ATH,140,608,545,146,27,86,80,5,0.268,0.339,0.492,0.831,0.224,0.307,0.355,124,9.2,21.7,0.274,0.513,0.365,44.7,13.699999999999998,90.8,16.0,113.3,44.6,34.2,21.2,14.7,48.2,37.1,2.36,53
Brice Turang,MIL,133,564,502,145,17,86,69,22,0.289,0.356,0.442,0.798,0.153,0.352,0.347,124,9.4,22.3,0.272,0.444,0.343,46.5,8.1,90.9,8.3,111.2,27.699999999999996,39.4,32.9,9.7,57.70000000000001,32.6,2.37,54
Miguel Andujar,- - -,82,304,284,89,9,33,40,1,0.313,0.352,0.472,0.824,0.158,0.34,0.354,124,5.6,13.8,0.263,0.388,0.305,35.7,4.9,87.8,11.2,111.4,36.5,42.2,21.3,20.9,48.8,30.3,2.46,55
Yandy Diaz,TBR,129,564,509,146,22,67,76,3,0.287,0.348,0.472,0.819,0.185,0.302,0.352,124,7.8,14.499999999999998,0.297,0.478,0.363,52.1,9.0,93.1,5.4,114.0,28.7,41.0,30.3,13.699999999999998,47.7,38.7,1.86,56
Jorge Polanco,SEA,117,438,394,100,23,53,63,6,0.254,0.319,0.472,0.791,0.218,0.253,0.339,123,8.2,16.0,0.275,0.477,0.352,45.3,9.7,90.4,17.2,111.9,52.300000000000004,28.000000000000004,19.8,18.8,45.6,35.6,1.95,57
Jake Cronenworth,SDP,113,435,352,87,10,51,49,2,0.247,0.372,0.392,0.764,0.145,0.3,0.342,123,13.600000000000001,20.7,0.225,0.35,0.321,37.5,6.3,88.3,14.8,109.1,38.0,34.3,27.699999999999996,17.0,58.3,24.7,1.52,58
Trea Turner,PHI,136,618,569,171,14,92,66,36,0.301,0.353,0.453,0.806,0.153,0.347,0.349,123,6.800000000000001,16.8,0.276,0.415,0.324,41.5,5.8,89.3,9.8,111.7,40.0,36.6,23.3,12.8,54.6,32.5,2.47,59
Harrison Bader,- - -,122,398,351,95,14,44,47,10,0.271,0.349,0.45,0.799,0.179,0.34,0.348,123,8.5,25.6,0.23,0.392,0.312,41.7,10.7,87.0,11.9,112.3,46.8,33.3,19.8,21.8,46.0,32.1,3.01,60
Gunnar Henderson,BAL,132,558,497,138,16,77,61,20,0.278,0.349,0.455,0.804,0.177,0.334,0.346,122,9.1,21.5,0.291,0.443,0.352,50.1,8.7,92.4,9.7,113.9,37.8,38.1,24.1,12.6,48.0,39.4,2.36,61
Brandon Nimmo,NYM,132,554,495,132,22,72,78,12,0.267,0.335,0.455,0.789,0.188,0.304,0.341,122,8.3,20.9,0.268,0.446,0.34,50.9,8.8,92.1,11.5,112.2,35.8,35.6,28.6,13.5,50.1,36.4,2.52,62
Jacob Wilson,ATH,104,439,409,129,12,53,55,5,0.315,0.357,0.452,0.809,0.137,0.32,0.352,122,5.2,7.3,0.288,0.373,0.31,25.0,2.4,84.9,9.1,108.5,36.3,37.6,26.1,16.8,64.2,18.9,1.4,63
Jordan Westburg,BAL,73,304,283,78,15,53,34,1,0.276,0.326,0.473,0.799,0.198,0.312,0.345,122,4.9,21.7,0.269,0.478,0.343,43.8,11.1,90.4,13.9,110.8,35.9,39.6,24.4,15.7,45.6,38.7,4.43,64
Brandon Lowe,TBR,115,472,431,114,28,71,72,3,0.265,0.32,0.494,0.814,0.23,0.3,0.347,121,7.400000000000001,25.4,0.272,0.515,0.357,46.3,13.3,91.2,15.1,112.6,47.9,28.6,23.5,12.1,48.9,39.0,3.43,65
Francisco Lindor,NYM,137,627,559,148,26,95,77,27,0.265,0.333,0.454,0.788,0.19,0.29,0.34,121,7.5,19.1,0.262,0.448,0.339,43.9,8.3,90.2,14.1,112.9,42.9,35.5,21.6,17.5,51.5,31.0,2.55,66
Julio Rodriguez,SEA,138,614,568,150,27,89,79,24,0.264,0.316,0.463,0.779,0.199,0.302,0.335,121,5.5,22.1,0.28,0.494,0.353,46.8,9.9,91.5,8.7,114.7,35.9,40.8,23.3,15.2,48.8,35.9,4.02,67
Carson Kelly,CHC,95,358,309,79,14,44,46,1,0.256,0.346,0.437,0.783,0.181,0.273,0.342,121,11.7,17.0,0.254,0.437,0.342,38.9,9.1,88.7,15.8,109.7,46.4,26.200000000000003,27.399999999999995,18.3,50.4,31.3,1.45,68
Tyler Soderstrom,ATH,139,560,502,136,23,68,81,7,0.271,0.343,0.468,0.811,0.197,0.317,0.35,121,9.1,22.3,0.269,0.465,0.349,49.6,11.3,91.4,8.4,114.0,36.1,36.7,27.200000000000003,13.699999999999998,47.2,39.1,2.45,69
Alec Burleson,STL,122,472,430,123,16,47,60,5,0.286,0.337,0.451,0.788,0.165,0.302,0.34,120,7.200000000000001,13.600000000000001,0.276,0.472,0.348,42.6,9.1,91.2,16.0,111.1,36.1,40.2,23.7,14.800000000000002,51.2,34.0,1.89,70
Gavin Sheets,SDP,123,458,415,110,18,50,62,2,0.265,0.328,0.455,0.783,0.19,0.298,0.337,120,7.9,19.9,0.276,0.474,0.351,46.8,9.5,90.3,15.3,111.8,42.8,33.6,23.5,16.2,51.7,32.1,2.52,71
Alejandro Kirk,TOR,111,436,390,116,11,38,64,1,0.297,0.362,0.423,0.785,0.126,0.311,0.343,120,9.4,10.3,0.297,0.494,0.37,50.7,9.7,91.1,12.1,112.0,29.5,38.4,32.1,13.200000000000001,47.0,39.8,1.1,72
Jackson Chourio,MIL,109,486,457,129,18,75,69,18,0.282,0.317,0.486,0.803,0.204,0.32,0.341,120,4.7,19.8,0.269,0.453,0.326,40.8,9.0,88.8,11.7,113.7,34.0,38.6,27.399999999999995,19.5,45.2,35.3,4.21,73
Seiya Suzuki,CHC,133,579,510,125,27,68,89,5,0.245,0.323,0.473,0.796,0.227,0.287,0.34,120,10.7,25.6,0.268,0.524,0.371,48.8,17.9,91.7,18.2,116.2,41.2,35.2,23.6,13.600000000000001,50.4,36.0,2.39,74
Jake Meyers,HOU,89,322,289,89,3,47,21,14,0.308,0.369,0.405,0.774,0.097,0.374,0.341,119,8.4,18.0,0.281,0.412,0.334,38.7,5.1,88.3,10.4,110.4,34.5,43.4,22.1,14.000000000000002,49.8,36.2,2.14,75
Hunter Goodman,COL,122,489,455,126,27,64,80,1,0.277,0.323,0.523,0.846,0.246,0.33,0.36,118,5.7,26.6,0.248,0.468,0.327,48.3,12.8,91.0,17.1,116.2,49.2,35.2,15.6,15.0,41.3,43.7,4.67,76
Matt Chapman,SFG,106,442,376,86,18,60,50,9,0.229,0.339,0.426,0.765,0.197,0.27,0.336,118,13.3,24.4,0.251,0.449,0.355,48.1,10.4,92.4,16.6,113.5,42.6,32.2,25.2,16.7,47.8,35.6,1.83,77
Zach McKinstry,DET,126,460,404,107,11,62,46,19,0.265,0.344,0.446,0.79,0.181,0.321,0.341,118,9.8,21.3,0.259,0.368,0.316,30.5,5.8,85.7,14.0,108.7,44.7,30.5,24.8,16.4,57.9,25.7,2.17,78
Sal Frelick,MIL,122,513,457,136,10,64,53,18,0.298,0.36,0.411,0.771,0.114,0.328,0.339,118,7.6,12.9,0.272,0.358,0.311,27.399999999999995,3.0,85.5,11.3,109.1,44.3,34.3,21.4,24.7,54.2,21.2,1.7,79
Willson Contreras,STL,129,537,469,117,20,66,74,4,0.249,0.335,0.441,0.776,0.192,0.309,0.338,118,7.8,25.900000000000002,0.265,0.51,0.368,49.1,14.3,90.7,12.4,114.7,39.1,37.6,23.3,15.8,51.9,32.2,3.32,80
Zach Neto,LAA,119,517,473,124,25,79,60,24,0.262,0.319,0.486,0.805,0.224,0.313,0.342,118,5.6,26.1,0.263,0.517,0.357,46.6,14.400000000000002,91.0,17.5,111.3,49.6,30.8,19.6,10.3,53.1,36.7,4.66,81
Spencer Torkelson,DET,134,559,484,114,28,73,71,2,0.236,0.329,0.465,0.794,0.229,0.267,0.34,117,10.9,24.9,0.236,0.477,0.346,43.7,13.100000000000001,90.0,22.6,110.5,48.0,30.0,22.0,15.1,51.1,33.7,2.28,82
Jo Adell,LAA,131,492,450,108,32,53,86,4,0.24,0.3,0.496,0.796,0.256,0.26,0.34,117,5.9,25.8,0.28,0.571,0.384,49.1,17.2,91.5,15.4,115.7,40.1,34.0,25.900000000000002,15.4,47.2,37.3,4.37,83
Jose Altuve,HOU,134,574,518,141,24,73,68,9,0.272,0.334,0.456,0.79,0.183,0.287,0.338,117,8.4,16.0,0.245,0.392,0.305,29.7,6.3,84.9,17.1,110.6,57.3,27.6,15.1,20.0,51.5,28.499999999999996,1.9,84
Wyatt Langford,TEX,118,509,440,109,21,68,59,18,0.248,0.34,0.441,0.781,0.193,0.306,0.338,117,11.8,26.700000000000003,0.246,0.45,0.345,46.9,12.9,91.1,17.3,113.1,47.6,29.100000000000005,23.3,12.6,52.1,35.3,2.26,85
Mike Tauchman,CHW,82,342,299,81,8,38,37,0,0.271,0.36,0.408,0.768,0.137,0.343,0.34,117,11.7,23.1,0.253,0.394,0.327,40.3,7.200000000000001,89.3,16.0,111.1,40.7,36.7,22.6,13.600000000000001,57.49999999999999,28.999999999999996,1.97,86
Mike Trout,LAA,108,466,381,88,20,58,54,2,0.231,0.361,0.425,0.786,0.194,0.308,0.339,116,16.1,31.1,0.244,0.472,0.362,46.9,14.499999999999998,90.2,16.3,115.4,39.0,31.5,29.5,17.4,45.6,36.9,1.93,87
Josh Naylor,- - -,127,528,474,133,16,65,73,23,0.281,0.343,0.437,0.78,0.156,0.302,0.337,116,8.3,14.000000000000002,0.277,0.434,0.337,41.0,6.6000000000000005,89.1,11.5,117.9,45.3,37.6,17.1,15.299999999999999,50.5,34.2,1.69,88
Matt Wallner,MIN,91,342,295,61,20,40,35,3,0.207,0.31,0.478,0.788,0.271,0.233,0.338,116,11.1,29.5,0.22,0.463,0.339,46.9,14.3,91.5,20.4,113.3,53.6,27.0,19.4,20.4,40.3,39.3,2.66,89
Taylor Ward,LAA,134,575,500,114,30,75,94,3,0.228,0.318,0.476,0.794,0.248,0.258,0.339,116,11.7,26.1,0.245,0.471,0.346,42.7,13.8,90.4,18.6,111.0,38.2,34.3,27.500000000000004,12.9,50.8,36.2,2.23,90
Kerry Carpenter,DET,110,399,372,95,22,58,52,1,0.255,0.295,0.5,0.795,0.245,0.275,0.338,116,3.8,21.8,0.26,0.51,0.346,45.9,12.4,91.3,21.0,109.5,47.0,35.2,17.8,13.200000000000001,52.6,34.1,5.74,91
William Contreras,MIL,133,588,507,132,17,80,69,6,0.26,0.355,0.412,0.768,0.152,0.296,0.336,116,12.8,18.0,0.262,0.41,0.339,46.9,6.2,91.1,6.9,114.1,39.5,35.1,25.4,15.299999999999999,49.1,35.6,1.41,92
Andy Pages,LAD,134,539,499,137,24,62,78,13,0.275,0.317,0.467,0.784,0.192,0.308,0.336,116,5.0,21.2,0.267,0.447,0.329,36.8,8.4,88.4,17.0,110.6,40.9,33.5,25.6,13.8,54.7,31.5,4.24,93
Gleyber Torres,DET,124,535,453,119,14,70,63,4,0.263,0.364,0.397,0.762,0.135,0.288,0.338,116,13.5,15.1,0.289,0.499,0.384,39.9,9.0,90.3,14.5,110.4,31.2,40.2,28.6,12.2,55.8,32.0,1.12,94
Marcell Ozuna,ATL,126,520,423,97,20,55,62,0,0.229,0.358,0.404,0.763,0.175,0.266,0.337,115,16.5,23.3,0.256,0.482,0.374,45.2,11.9,90.1,13.8,112.1,42.5,34.1,23.4,15.9,49.7,34.4,1.41,95
Wilyer Abreu,BOS,108,395,352,89,22,52,69,6,0.253,0.325,0.486,0.811,0.233,0.279,0.343,115,9.9,23.5,0.258,0.513,0.356,45.6,12.9,91.1,23.6,111.7,44.9,30.4,24.7,15.2,47.1,37.6,2.37,96
CJ Abrams,WSN,123,544,494,131,17,80,53,28,0.265,0.328,0.447,0.775,0.182,0.298,0.335,115,6.3,17.8,0.265,0.433,0.331,39.5,8.0,88.9,12.9,112.7,43.0,36.8,20.3,19.3,51.300000000000004,29.5,2.83,97
Pete Crow-Armstrong,CHC,136,563,519,130,28,82,83,31,0.25,0.29,0.493,0.784,0.243,0.279,0.33,114,4.4,23.6,0.251,0.487,0.33,40.2,12.3,89.6,20.0,111.8,51.800000000000004,28.9,19.3,15.299999999999999,53.5,31.2,5.36,98
Kyle Manzardo,CLE,119,442,390,91,24,41,61,1,0.233,0.312,0.464,0.776,0.231,0.263,0.332,114,9.3,26.200000000000003,0.233,0.473,0.337,44.1,12.5,90.6,22.8,109.7,38.4,37.6,24.0,17.2,49.1,33.7,2.82,99
Rhys Hoskins,MIL,82,318,269,65,12,30,42,2,0.242,0.34,0.428,0.767,0.186,0.298,0.332,113,11.9,26.700000000000003,0.234,0.409,0.328,45.8,10.5,90.5,22.0,111.1,53.7,32.1,14.2,14.2,49.5,36.3,2.24,100
Elly De La Cruz,CIN,139,604,545,148,19,95,78,32,0.272,0.341,0.453,0.794,0.182,0.347,0.339,112,9.3,25.7,0.264,0.447,0.334,43.2,10.7,90.9,7.7,117.4,40.7,33.5,25.8,13.8,52.2,34.0,2.76,101
Dillon Dingler,DET,108,398,369,104,12,45,52,0,0.282,0.33,0.436,0.766,0.154,0.343,0.331,112,4.8,22.6,0.298,0.486,0.358,44.8,9.3,89.8,16.7,110.7,39.3,34.3,26.400000000000002,16.4,48.9,34.6,4.71,102
