Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRC+,BB%,K%,xBA,xSLG,xwOBA,HardHit%,Barrel%,EV,LA,maxEV,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,K:BB,Rank
Aaron Judge,NYY,128,572,465,151,43,111,97,9,0.325,0.442,0.671,1.113,0.346,0.382,0.451,195,17.0,25.2,0.3,0.695,0.451,55.50000000000001,23.9,95.1,19.1,118.1,38.3,35.3,26.400000000000002,9.5,47.9,42.6,1.48,1
Nicholas Kurtz,ATH,95,396,337,104,27,70,71,2,0.309,0.403,0.632,1.035,0.323,0.395,0.432,177,13.600000000000001,29.799999999999997,0.265,0.555,0.389,51.1,17.5,92.8,14.7,113.8,36.9,34.2,28.800000000000004,7.200000000000001,49.5,43.2,2.19,2
Shohei Ohtani,LAD,135,620,523,146,46,125,87,17,0.279,0.388,0.61,0.998,0.331,0.312,0.412,168,14.7,25.5,0.29,0.666,0.438,58.4,22.0,94.9,14.3,120.0,47.1,36.0,16.9,10.1,45.2,44.7,1.73,3
George Springer,TOR,117,481,407,124,26,87,71,16,0.305,0.396,0.55,0.946,0.246,0.329,0.403,161,11.9,18.1,0.298,0.583,0.412,45.2,15.2,89.8,17.2,113.3,41.0,35.8,23.1,15.7,48.8,35.5,1.52,4
Juan Soto,NYM,137,610,487,126,37,106,91,27,0.259,0.399,0.524,0.923,0.265,0.264,0.391,156,18.7,19.3,0.297,0.627,0.443,56.00000000000001,18.1,94.3,11.5,115.0,41.9,37.6,20.5,14.7,40.5,44.8,1.03,5
Cal Raleigh,SEA,136,599,508,123,51,89,108,14,0.242,0.352,0.581,0.933,0.339,0.241,0.387,156,13.5,26.899999999999995,0.233,0.545,0.371,49.4,18.6,91.5,25.9,115.2,56.89999999999999,23.4,19.7,19.4,42.3,38.3,1.99,6
Kyle Schwarber,PHI,138,615,515,126,49,96,119,10,0.245,0.366,0.577,0.943,0.332,0.254,0.396,155,14.6,26.700000000000003,0.272,0.618,0.422,60.199999999999996,20.7,94.5,19.5,116.7,55.1,28.1,16.8,14.800000000000002,41.2,44.0,1.83,7
Ketel Marte,ARI,106,465,397,116,25,77,64,4,0.292,0.391,0.537,0.928,0.244,0.298,0.395,154,12.7,14.800000000000002,0.303,0.561,0.408,46.7,14.499999999999998,91.0,14.8,119.6,47.6,32.4,20.0,17.9,45.2,37.0,1.17,8
Will Smith,LAD,108,431,357,106,17,63,61,2,0.297,0.406,0.499,0.905,0.202,0.346,0.391,153,14.800000000000002,20.4,0.279,0.507,0.387,46.7,12.4,91.3,18.6,110.1,32.8,40.1,27.0,11.7,51.800000000000004,36.5,1.38,9
Ronald Acuna Jr.,ATL,73,316,261,73,15,58,31,6,0.28,0.405,0.502,0.907,0.222,0.349,0.391,152,16.8,25.3,0.261,0.522,0.389,51.9,14.899999999999999,92.3,14.6,115.5,38.7,40.3,21.0,12.2,48.1,39.8,1.51,10
Kyle Stowers,MIA,117,457,399,115,25,61,73,5,0.288,0.368,0.544,0.912,0.256,0.356,0.386,148,10.5,27.399999999999995,0.278,0.553,0.387,52.0,19.0,91.1,14.1,113.7,45.5,28.300000000000004,26.200000000000003,17.6,40.1,42.3,2.61,11
Ramon Laureano,- - -,112,411,372,110,22,63,70,6,0.296,0.355,0.54,0.896,0.245,0.346,0.381,147,6.800000000000001,24.1,0.285,0.535,0.375,49.6,13.8,90.3,14.0,112.7,44.9,32.6,22.5,13.4,46.4,40.2,3.54,12
Max Muncy,LAD,89,347,279,72,17,44,64,4,0.258,0.389,0.491,0.88,0.233,0.284,0.379,146,17.3,21.0,0.264,0.543,0.4,52.6,13.699999999999998,91.4,18.9,110.5,53.6,32.2,14.2,11.8,50.7,37.4,1.21,13
Jonathan Aranda,TBR,103,409,358,113,12,53,54,0,0.316,0.394,0.478,0.871,0.162,0.409,0.377,142,9.8,24.9,0.301,0.524,0.391,53.7,12.4,93.0,14.9,111.4,41.3,36.3,22.4,12.0,49.4,38.6,2.54,14
Pete Alonso,NYM,139,609,534,143,33,76,112,1,0.268,0.346,0.521,0.867,0.253,0.293,0.367,140,9.0,21.8,0.29,0.595,0.404,54.2,19.4,93.4,15.2,115.4,40.9,31.4,27.699999999999996,12.3,47.1,40.7,2.42,15
Rafael Devers,- - -,140,627,521,137,30,84,96,1,0.263,0.381,0.493,0.874,0.23,0.321,0.375,140,15.299999999999999,25.8,0.263,0.509,0.384,56.7,15.7,93.6,12.2,114.5,37.5,38.0,24.5,11.8,46.8,41.3,1.69,16
Vladimir Guerrero Jr.,TOR,133,582,498,145,21,87,75,6,0.291,0.387,0.478,0.865,0.187,0.312,0.372,140,12.7,14.3,0.317,0.535,0.405,50.8,12.9,92.3,8.4,120.4,37.9,36.0,26.0,16.2,42.0,41.8,1.13,17
Kyle Tucker,CHC,133,585,489,132,22,89,73,25,0.27,0.381,0.472,0.854,0.202,0.286,0.368,139,14.7,14.7,0.285,0.506,0.386,40.6,10.3,90.2,17.0,108.7,47.2,33.4,19.4,13.5,53.29999999999999,33.2,1.0,18
Freddie Freeman,LAD,124,527,465,138,18,69,76,4,0.297,0.37,0.495,0.865,0.198,0.351,0.369,139,9.9,20.9,0.283,0.486,0.365,46.1,10.3,91.3,15.3,114.1,42.8,31.1,26.1,10.0,51.4,38.6,2.11,19
Byron Buxton,MIN,105,451,405,110,29,83,72,21,0.272,0.333,0.553,0.886,0.281,0.306,0.37,138,8.0,25.900000000000002,0.262,0.536,0.364,54.79999999999999,18.0,92.3,17.5,114.0,53.1,29.9,17.0,12.6,47.6,39.8,3.24,20
Roman Anthony,BOS,71,303,257,75,8,48,32,4,0.292,0.396,0.463,0.859,0.171,0.404,0.377,138,13.200000000000001,27.699999999999996,0.268,0.499,0.382,60.3,15.5,94.5,6.9,113.7,43.1,37.9,19.0,8.6,47.1,44.3,2.1,21
Corbin Carroll,ARI,123,552,492,126,29,94,71,23,0.256,0.332,0.553,0.884,0.297,0.293,0.372,138,9.1,24.5,0.271,0.555,0.381,50.8,15.299999999999999,92.3,16.7,115.8,45.6,33.1,21.4,15.8,45.3,38.9,2.69,22
Trent Grisham,NYY,121,486,415,103,29,73,61,3,0.248,0.357,0.484,0.841,0.236,0.263,0.365,136,13.8,21.6,0.266,0.52,0.384,45.0,14.499999999999998,90.9,15.4,109.8,50.5,34.7,14.800000000000002,12.5,49.8,37.6,1.57,23
Corey Seager,TEX,102,445,380,103,21,61,50,3,0.271,0.373,0.487,0.86,0.216,0.299,0.366,136,13.0,19.6,0.298,0.591,0.413,53.6,15.299999999999999,92.9,11.6,112.4,37.3,38.6,24.1,8.1,50.8,41.0,1.51,24
