Name,Team,G,PA,AB,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,K:BB
Bo Bichette,TOR,135,608,567,176,17,74,88,4,0.059000000000000004,0.145,0.168,0.343,0.31,0.354,0.478,0.832,0.358,130,2.46
Maikel Garcia,KCR,135,562,503,150,15,65,64,22,0.091,0.133,0.177,0.324,0.298,0.361,0.475,0.837,0.361,129,1.46
Matt Olson,ATL,138,619,532,143,21,78,77,1,0.129,0.247,0.186,0.337,0.269,0.365,0.455,0.82,0.357,129,1.91
Bobby Witt Jr.,KCR,135,590,533,158,20,88,76,34,0.076,0.18600000000000003,0.205,0.337,0.296,0.353,0.501,0.853,0.36,129,2.45
Jazz Chisholm Jr.,NYY,105,438,374,89,26,66,67,25,0.12300000000000001,0.27399999999999997,0.249,0.272,0.238,0.339,0.487,0.825,0.355,129,2.23
Cody Bellinger,NYY,127,544,494,138,26,75,83,11,0.077,0.131,0.225,0.277,0.279,0.333,0.504,0.837,0.355,129,1.7
Fernando Tatis Jr.,SDP,134,600,512,135,18,93,57,27,0.135,0.18,0.166,0.302,0.264,0.37,0.43,0.8,0.349,128,1.33
Jose Ramirez,CLE,132,561,496,139,26,84,68,36,0.096,0.107,0.216,0.272,0.28,0.355,0.496,0.851,0.354,128,1.11
Christian Yelich,MIL,132,565,500,134,27,82,92,15,0.10400000000000001,0.264,0.196,0.329,0.268,0.35,0.464,0.814,0.351,127,2.54
Ben Rice,NYY,116,446,388,94,22,60,51,3,0.10300000000000001,0.20600000000000002,0.24,0.261,0.242,0.335,0.482,0.817,0.352,127,2.0
James Wood,WSN,135,592,510,131,26,73,84,15,0.128,0.313,0.214,0.348,0.257,0.355,0.471,0.825,0.353,127,2.45
Brent Rooker,ATH,139,604,541,146,27,86,80,5,0.09300000000000001,0.21899999999999997,0.226,0.31,0.27,0.342,0.495,0.837,0.357,127,2.35
Isaac Collins,MIL,114,384,326,90,8,51,51,16,0.122,0.214,0.15,0.343,0.276,0.373,0.426,0.799,0.352,127,1.75
Manny Machado,SDP,138,590,532,151,21,79,79,12,0.085,0.185,0.179,0.319,0.284,0.346,0.462,0.808,0.348,127,2.18
Randy Arozarena,SEA,136,596,517,126,26,82,66,25,0.08900000000000001,0.263,0.211,0.297,0.244,0.339,0.455,0.793,0.345,127,2.96
Shea Langeliers,ATH,104,436,402,105,29,60,65,5,0.067,0.195,0.276,0.259,0.261,0.307,0.537,0.845,0.355,125,2.91
Jeff McNeil,NYM,100,382,328,85,12,39,47,2,0.107,0.107,0.195,0.262,0.259,0.35,0.454,0.804,0.345,125,1.0
Carson Kelly,CHC,94,354,305,79,14,44,46,1,0.11900000000000001,0.16699999999999998,0.184,0.275,0.259,0.35,0.443,0.793,0.346,124,1.4
Jacob Wilson,ATH,103,435,406,129,12,53,55,5,0.051,0.07400000000000001,0.138,0.322,0.318,0.358,0.456,0.814,0.353,124,1.45
Miguel Andujar,- - -,82,304,284,89,9,33,40,1,0.055999999999999994,0.138,0.158,0.34,0.313,0.352,0.472,0.824,0.354,124,2.46
Brice Turang,MIL,133,564,502,145,17,86,69,22,0.094,0.223,0.153,0.352,0.289,0.356,0.442,0.798,0.347,124,2.37
Jake Cronenworth,SDP,112,431,350,87,10,51,49,2,0.135,0.209,0.146,0.302,0.249,0.371,0.394,0.765,0.342,123,1.55
Trea Turner,PHI,136,618,569,171,14,92,66,36,0.068,0.168,0.153,0.347,0.301,0.353,0.453,0.806,0.349,123,2.47
Harrison Bader,- - -,122,398,351,95,14,44,47,10,0.085,0.256,0.179,0.34,0.271,0.349,0.45,0.799,0.348,123,3.01
Junior Caminero,TBR,131,556,515,133,39,80,96,7,0.057999999999999996,0.201,0.272,0.253,0.258,0.3,0.53,0.83,0.349,123,3.47
Francisco Lindor,NYM,136,622,555,148,26,95,76,27,0.076,0.19,0.191,0.293,0.267,0.336,0.458,0.794,0.342,123,2.5
Gunnar Henderson,BAL,131,553,494,138,16,76,61,20,0.09,0.217,0.178,0.337,0.279,0.349,0.457,0.806,0.347,123,2.41
Yandy Diaz,TBR,128,560,507,145,22,65,76,3,0.075,0.146,0.185,0.301,0.286,0.345,0.471,0.816,0.35,123,1.95
Jordan Westburg,BAL,73,304,283,78,15,53,34,1,0.049,0.217,0.198,0.312,0.276,0.326,0.473,0.799,0.345,122,4.43
