Name,Team,G,PA,AB,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,K:BB
Lourdes Gurriel Jr.,ARI,129,546,500,124,19,52,80,10,0.057,0.139,0.17,0.254,0.248,0.295,0.418,0.713,0.307,94,2.44
Salvador Perez,KCR,130,539,503,121,23,46,77,0,0.043,0.195,0.201,0.261,0.241,0.285,0.441,0.727,0.31,94,4.53
Agustin Ramirez,MIA,112,486,446,103,19,60,60,11,0.06,0.193,0.195,0.25,0.231,0.288,0.426,0.714,0.307,94,3.22
Willi Castro,- - -,105,404,361,83,11,53,30,9,0.079,0.245,0.15,0.287,0.23,0.31,0.38,0.69,0.304,94,3.1
Masyn Winn,STL,123,516,473,121,9,69,51,9,0.062,0.18600000000000003,0.114,0.303,0.256,0.311,0.37,0.681,0.3,93,3.0
Ernie Clement,TOR,134,506,469,128,9,67,41,4,0.043,0.109,0.119,0.29,0.273,0.308,0.392,0.7,0.304,93,2.53
Bryson Stott,PHI,125,475,423,105,9,57,55,23,0.09699999999999999,0.166,0.121,0.284,0.248,0.321,0.369,0.69,0.305,93,1.71
Luis Garcia Jr.,WSN,119,452,419,110,11,57,55,11,0.051,0.157,0.146,0.287,0.263,0.299,0.408,0.707,0.304,93,3.08
Andrew Benintendi,CHW,103,420,378,90,15,50,49,1,0.081,0.16899999999999998,0.169,0.253,0.238,0.301,0.407,0.708,0.305,93,2.09
Adley Rutschman,BAL,85,348,308,70,9,37,29,0,0.106,0.158,0.146,0.248,0.227,0.31,0.373,0.684,0.302,93,1.49
Oneil Cruz,PIT,114,478,411,84,19,60,53,36,0.121,0.318,0.19,0.265,0.204,0.305,0.394,0.7,0.304,92,2.63
Jake Burger,TEX,85,311,295,72,12,37,42,1,0.032,0.23800000000000002,0.18,0.284,0.244,0.277,0.424,0.7,0.301,92,7.44
Adam Frazier,- - -,113,385,349,95,5,36,36,8,0.057,0.166,0.095,0.316,0.272,0.326,0.367,0.692,0.304,91,2.91
Spencer Steer,CIN,128,504,455,107,17,56,63,6,0.083,0.22399999999999998,0.163,0.275,0.235,0.304,0.398,0.702,0.307,91,2.7
Ceddanne Rafaela,BOS,133,502,467,116,15,72,56,19,0.044000000000000004,0.191,0.171,0.282,0.248,0.293,0.42,0.712,0.308,91,4.34
Jake Mangum,TBR,94,344,327,95,2,34,34,21,0.044000000000000004,0.145,0.073,0.338,0.291,0.324,0.364,0.688,0.303,91,3.3
Josh Lowe,TBR,87,354,321,76,9,49,33,16,0.079,0.23199999999999998,0.156,0.289,0.237,0.3,0.393,0.693,0.301,90,2.94
Yainer Diaz,HOU,120,483,459,116,18,47,55,1,0.039,0.172,0.161,0.271,0.253,0.284,0.414,0.698,0.299,90,4.41
Cam Smith,HOU,117,453,409,99,8,50,49,8,0.084,0.278,0.117,0.33,0.242,0.313,0.359,0.673,0.299,90,3.31
Kody Clemens,- - -,98,304,272,56,14,37,40,2,0.076,0.23,0.213,0.221,0.206,0.278,0.419,0.697,0.3,90,3.03
Daniel Schneemann,CLE,110,361,321,70,11,41,34,9,0.09699999999999999,0.263,0.159,0.273,0.218,0.3,0.377,0.677,0.298,90,2.71
Nick Castellanos,PHI,130,532,495,124,16,66,61,4,0.055,0.21600000000000003,0.152,0.293,0.251,0.295,0.402,0.697,0.302,90,3.93
JJ Bleday,ATH,82,303,267,56,12,44,32,1,0.11599999999999999,0.257,0.187,0.247,0.21,0.3,0.397,0.697,0.303,89,2.22
Javier Baez,DET,112,393,376,98,11,52,51,5,0.025,0.252,0.144,0.325,0.261,0.288,0.404,0.692,0.299,89,10.08
Jose Caballero,- - -,108,320,271,62,4,45,32,41,0.125,0.272,0.1,0.319,0.229,0.332,0.328,0.661,0.3,89,2.18
Jorge Soler,LAA,82,315,279,60,12,31,34,0,0.08900000000000001,0.298,0.172,0.273,0.215,0.293,0.387,0.68,0.298,88,3.35
Nathaniel Lowe,- - -,130,528,473,105,17,56,75,1,0.09699999999999999,0.258,0.156,0.272,0.222,0.297,0.378,0.676,0.297,88,2.66
Austin Wells,NYY,106,383,343,72,19,44,61,5,0.065,0.251,0.219,0.224,0.21,0.267,0.429,0.696,0.296,88,3.86
Chase Meidroth,CHW,99,409,363,92,4,44,21,13,0.09300000000000001,0.13699999999999998,0.072,0.289,0.253,0.332,0.325,0.657,0.297,88,1.47
